id,name,symbol,slug,cmc_rank,max_supply,circulating_supply,total_supply,date_added,last_updated,price,volume_24h,percent_change_1h,percent_change_24h,percent_change_7d,percent_change_30d,percent_change_60d,percent_change_90d,market_cap,market_cap_dominance,fully_diluted_market_cap,tags
34466,Pudgy Penguins,PENGU,pudgy-penguins,125,,62860396090.04,88888888888.0,2024-12-17T14:00:00.000Z,2025-03-22T17:11:00.000Z,0.006390448457447213,39429945.5188857,0.09644775,2.67900935,-4.80358607,-22.76801559,-72.40600919,-75.74299814,401706121.2281169,0.0146,568039862.88,"collectibles-nfts,memes,solana-ecosystem,animal-memes,ip-memes,made-in-america,binance-hodler-airdrops"
17799,Axelar,AXL,axelar,126,,936340096.1443629,1195299712.845254,2022-02-02T02:48:14.000Z,2025-03-22T17:11:00.000Z,0.4191921285655574,10740658.48528541,0.45235464,4.02893675,2.67651437,-12.90937888,-31.12142447,-43.94701398,392506397.96403414,0.0142,501060230.9,"interoperability,ethereum-ecosystem,coinbase-ventures-portfolio,polychain-capital-portfolio,binance-labs-portfolio,avalanche-ecosystem,galaxy-digital-portfolio,polygon-ecosystem,fantom-ecosystem,arbitrum-ecosystem,bnb-chain-ecosystem,optimism-ecosystem,osmosis-ecosystem,real-world-assets,base-ecosystem,linea-ecosystem,sei-ecosystem,mantle-ecosystem,scroll-ecosystem,made-in-america"
5692,Compound,COMP,compound,127,,8939960.17497395,10000000.0,2020-06-16T00:00:00.000Z,2025-03-22T17:11:00.000Z,43.46925976656255,22729194.98644581,1.6121145,3.57664172,1.36155864,-19.48036983,-45.78959173,-45.58067049,388613451.1486666,0.0141,434692597.67,"defi,dao,ethereum-ecosystem,yield-farming,coinbase-ventures-portfolio,three-arrows-capital-portfolio,polychain-capital-portfolio,avalanche-ecosystem,solana-ecosystem,lending-borowing,dragonfly-capital-portfolio,alameda-research-portfolio,a16z-portfolio,pantera-capital-portfolio,paradigm-portfolio,near-protocol-ecosystem,arbitrum-ecosystem,gnosis-chain-ecosystem,sora-ecosystem,made-in-america"
26997,LayerZero,ZRO,layerzero,128,1000000000.0,110000000.0,1000000000.0,2024-06-20T05:52:25.000Z,2025-03-22T17:11:00.000Z,3.519303194782331,343958422.88623613,1.61797761,10.22024153,52.85062455,17.53901444,-15.47168112,-34.3842389,387123351.4260564,0.014,3519303194.78,"interoperability,ethereum-ecosystem,coinbase-ventures-portfolio,binance-labs-portfolio,avalanche-ecosystem,a16z-portfolio,multicoin-capital-portfolio,polygon-ecosystem,arbitrum-ecosystem,cross-chain,optimism-ecosystem,sino-global-capital,base-ecosystem"
35347,Official Melania Meme,MELANIA,melania-meme,129,,537313314.362145,999999111.278682,2025-01-19T23:21:51.000Z,2025-03-22T17:11:00.000Z,0.7099175749603337,13748603.47569249,0.17409784,0.02645537,1.93419865,-42.35599787,-81.84288328,-90.31233055,381448165.1258734,0.0138,709916944.04,"memes,solana-ecosystem,celebrity-memes,made-in-america"
5964,Trust Wallet Token,TWT,trust-wallet-token,130,,416649900.0,999668148.0,2020-07-30T00:00:00.000Z,2025-03-22T17:11:00.000Z,0.9031581245962651,10210276.84615675,0.30230511,1.667461,2.89110444,-12.71965979,-17.47613651,-24.32545655,376300742.2972214,0.0136,902858409.77,"wallet,solana-ecosystem,polygon-ecosystem,bnb-chain-ecosystem"
8602,Bounce Token,AUCTION,bounce-token,131,10000000.0,6590139.0,7640766.0,2021-02-26T00:00:00.000Z,2025-03-22T17:11:00.000Z,56.97864771319294,1408245809.5827293,-1.07425283,13.68316599,118.66118844,336.87369067,321.30148286,209.3911316,375497208.4619736,0.0136,569786477.13,"defi,ethereum-ecosystem,bounce-launchpad,bnb-chain-ecosystem,dwf-labs-portfolio"
18679,Onyxcoin,XCN,onyxcoin,132,48402437326.0,32592684478.0,48402437326.0,2022-03-09T16:10:43.000Z,2025-03-22T17:11:00.000Z,0.011282486076493237,22363712.9987161,0.15843259,-1.84433358,-15.17176704,-42.23988305,-6.83449388,412.01472015,367726508.8185722,0.0133,546099825.2,"ethereum-ecosystem,base-ecosystem,made-in-america"
4172,Terra Classic,LUNC,terra-luna,133,,5445975525698.108,6501141616082.583,2019-07-26T00:00:00.000Z,2025-03-22T17:11:00.000Z,6.502087484448754e-05,10360653.57029983,-0.24972187,1.32468355,1.10812682,-13.35025248,-27.06216153,-40.42137982,354102093.06255895,0.0128,422709915.37,"cosmos-ecosystem,store-of-value,defi,payments,ethereum-ecosystem,coinbase-ventures-portfolio,binance-labs-portfolio,avalanche-ecosystem,solana-ecosystem,arrington-xrp-capital-portfolio,hashkey-capital-portfolio,kenetic-capital-portfolio,huobi-capital-portfolio,pantera-capital-portfolio,polygon-ecosystem,terra-ecosystem,injective-ecosystem,osmosis-ecosystem,alleged-sec-securities,secret-ecosystem"
3964,Reserve Rights,RSR,reserve-rights,134,100000000000.0,55899740295.0,100000000000.0,2019-05-24T00:00:00.000Z,2025-03-22T17:11:00.000Z,0.0063071383468552775,79149019.8786285,0.47950719,3.17801617,7.29146313,-27.01506581,-52.81097603,-42.85055173,352567395.59384567,0.0128,630713834.69,"store-of-value,defi,ethereum-ecosystem,coinbase-ventures-portfolio,dcg-portfolio,real-world-assets,base-ecosystem,made-in-america"
